Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic,nb_dots,nb_qm,nb_and,nb_eq,ratio_digits_url,punycode,domain_in_brand,brand_in_path,suspecious_tld
www.sagittariusglobal.com,0,0,//portal/cache/Cielo/index.html,0,http,1,2,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
goo.gl,0,0,/MMT7sp,0,https,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
abuv.com.br,0,0,/cliente.conectado40/atendimento_pessoa_fisica/criptografado/index1.php,0,http,0,1,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
voetudoazul.serveuser.com,0,0,/tudoazul/cadastre.php,0,http,0,2,2,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0
www.rustmaster.com.br,0,0,/ml/next1.php,0,https,0,1,0,1,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0
www.rustmaster.com.br,0,0,/ml/,0,https,0,2,0,1,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0
30horasdigital.myvnc.com,0,0,/30horasdigitalmodulodesegurancafeitoparavoce/,0,http,0,0,1,1,1,1,0,1,1,0,1,2,0,0,0,0.07,0,0,0,0
i-house.se,0,0,/wp-trackback/en/,1,http,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
prayogispl.in,0,0,/elisnow/ymail.html,0,http,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
zdcp.org,0,0,/iiii/feedback/login.alibaba.com/login.html,0,http,0,1,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
celebrapack.com,0,0,/dhnl/DHL/DHL/,0,http,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
www.hyperbay.net,0,0,/merchants/controller/tool/www.alibaba.com/alibaba/trade.php,0,http,0,1,1,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
thehotelmanagment.com,0,0,/Prime/,0,http,0,0,0,1,1,1,0,1,1,1,1,2,0,0,0,0,0,0,0,0
binary-project.com,0,0,/cha/chase/home/action.php,1,https,0,0,0,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0
abuv.com.br,0,0,/cliente.conectado33/atendimento_pessoa_fisica/criptografado/index1.php,0,http,0,1,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
cover-acct09964.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0.2,0,0,0,0
academica.pt,0,0,/U/mail.htm,0,http,0,0,0,1,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0
kalempong-fb01.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0.07,0,1,0,0
dujanapublicschool.com,0,0,/b/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/index.html,0,http,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
abuv.com.br,0,0,/cliente.conectado1/atendimento_pessoa_fisica/criptografado/index1.php,0,http,0,1,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
paialowereasterncherokeenationsc.com,0,0,/aaaaa/login.htm,0,http,0,0,2,2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0
abuv.com.br,0,0,/1cliente.conectado.jw1/atendimento_pessoa_fisica/criptografado/index1.php,0,http,0,1,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
34.201.92.123,0,1,/indisponivel.php,0,http,0,1,0,1,1,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
149.56.144.216,0,1,/processa.php,0,http,0,1,0,1,1,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
jose200495fgts.com,0,0,/processa.php,0,http,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0.2,0,1,0,0
34.224.68.176,0,1,/principal.php,0,http,0,1,0,1,1,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
consultasaldossl.com,0,0,,0,http,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
meusaldos.com,0,0,,0,http,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
fgts-mobile.com,0,0,/processa.php,1,http,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
fgts.mobi,0,0,/processa.php,0,http,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0
aolonlineservices.cba.pl,0,0,/chase.php,0,http,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
caixa.extratofgtsliberados2017.com,0,0,/consulta8647454/principal.php,0,http,0,2,2,0,0,1,0,1,1,0,1,3,0,0,0,0,0,1,0,0
webmailupgrade-001-site1.itempurl.com,0,0,/webmaster-secure/owa/confirm.php,1,http,0,2,1,0,0,1,0,1,1,0,2,3,0,0,0,0.1,0,0,0,0
scs-network.com,0,0,/umpi/dba.html,1,http,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0
